KURS;1 USD;1 EUR;1 AUD;1 CYP;1 CZK;1 DKK;1 EEK;1 HKD;100 JPY;1 CAD;1 LTL;1 LVL ;1 MTL;1 NOK;1 ZAR;1 RUB;1 SKK;100 SIT;1 CHF;1 SEK;1 UAH;100 HUF;1 GBP;1 XDR;NR TAB
07.05.2003;3,7878;4,313;2,4247;7,3319;0,1376;0,5808;0,2756;0,4857;3,2248;2,7186;1,2488;6,6858;10,07;0,5488;0,5146;0,1218;0,1045;1,852;2,8454;0,4745;0,7104;1,7614;6,0948;5,3071;88/A/NBP/2003
08.05.2003;3,7852;4,2953;2,4075;7,3099;0,137;0,5785;0,2745;0,4852;3,2561;2,6902;1,2438;6,6806;10,0287;0,5471;0,5168;0,1217;0,1042;1,8448;2,8541;0,4716;0,7096;1,7538;6,057;5,2622;89/A/NBP/2003
09.05.2003;3,7659;4,3351;2,4307;7,3758;0,138;0,5839;0,2771;0,4835;3,2143;2,7039;1,2552;6,6694;10,0898;0,5505;0,5193;0,1213;0,1053;1,8614;2,8744;0,474;0,7071;1,7678;6,0428;5,3029;90/A/NBP/2003
12.05.2003;3,7438;4,34;2,4292;7,3986;0,1381;0,5845;0,2774;0,48;3,209;2,6965;1,2567;6,6554;10,0498;0,5509;0,5141;0,1204;0,1054;1,8625;2,8705;0,4726;0,7022;1,7698;6,0232;5,3116;91/A/NBP/2003
13.05.2003;3,7591;4,327;2,4245;7,3745;0,1373;0,5828;0,2765;0,4818;3,2092;2,7062;1,2531;6,6641;10,0745;0,5503;0,5104;0,1213;0,1051;1,8564;2,8587;0,4713;0,7047;1,7684;6,0479;5,2582;92/A/NBP/2003
14.05.2003;3,7576;4,3203;2,4253;7,3537;0,1373;0,5819;0,2761;0,4816;3,2198;2,7072;1,2515;6,6604;10,0577;0,5493;0,5045;0,1212;0,1052;1,8536;2,8535;0,4704;0,7042;1,7649;6,0424;5,271;93/A/NBP/2003
15.05.2003;3,7755;4,33;2,4349;7,3853;0,1374;0,5832;0,2767;0,4837;3,2601;2,7399;1,2542;6,6997;10,0979;0,5511;0,4906;0,1217;0,1054;1,8575;2,8662;0,4716;0,7074;1,7679;6,1072;5,2902;94/A/NBP/2003
16.05.2003;3,7768;4,3129;2,4252;7,3536;0,1375;0,5809;0,2756;0,484;3,2455;2,7288;1,2492;6,6887;10,078;0,5497;0,4765;0,1222;0,1051;1,8502;2,862;0,4712;0,7075;1,7611;6,1206;5,2944;95/A/NBP/2003
19.05.2003;3,7087;4,3448;2,443;7,4042;0,1387;0,5852;0,2777;0,4757;3,2212;2,7417;1,2585;6,6475;10,1007;0,5502;0,479;0,1201;0,1061;1,8634;2,871;0,4731;0,6955;1,7717;6,0682;5,3094;96/A/NBP/2003
20.05.2003;3,7191;4,3226;2,4319;7,3771;0,1375;0,5822;0,2762;0,4775;3,1751;2,7347;1,252;6,6318;10,0701;0,544;0,4785;0,1206;0,1052;1,8546;2,8569;0,4717;0,6982;1,7635;6,0758;5,2609;97/A/NBP/2003
